9	68	1184
7	94	8803
9	96	2450
5	23	8056
5	12	5294
0	67	6643
4	92	9178
2	61	7860
3	26	5120
8	80	8427
8	89	3536
7	91	968
7	87	4246
0	14	1277
5	49	8976
5	80	1794
5	60	1261
2	71	187
0	53	9561
4	63	4496
9	71	5094
0	43	8479
8	38	1782
8	46	1567
1	80	2614
4	58	7323
2	33	3892
0	41	2967
3	53	8677
7	41	1255
2	16	8378
3	89	9427
0	22	2113
8	75	1826
6	28	8694
3	10	7106
1	10	3011
3	13	4641
8	68	9220
0	36	1806
7	60	6566
6	20	7276
8	78	3773
0	86	3190
3	20	4966
8	76	1155
7	60	1329
2	29	2750
2	53	8744
3	92	9938
2	49	6367
3	20	7028
5	27	8740
1	98	7649
8	66	5672
3	16	5892
3	94	9648
7	16	844
1	4	5455
5	36	6426
0	9	7311
4	50	6054
8	80	2117
5	35	6019
4	87	1075
8	24	7576
4	83	680
6	77	6451
7	0	7666
4	89	3803
0	67	7505
9	2	772
8	78	1144
4	11	9398
4	8	5424
6	1	6819
7	56	8493
6	79	5745
6	86	3986
1	65	5766
0	88	4754
3	76	5601
9	15	1524
6	33	1028
6	44	3847
0	21	1778
9	55	7607
2	27	7518
0	1	7913
4	58	2418
5	57	4281
5	71	8861
3	40	4633
6	25	396
0	24	1937
9	38	1444
2	16	2632
1	60	3345
5	80	8726
1	30	8541
8	96	4116
6	58	4751
8	55	457
7	34	1649
3	31	8402
2	61	3498
6	57	5052
4	24	1200
8	27	379
4	24	3187
2	20	5328
6	11	4149
0	80	7618
1	84	844
4	73	5539
3	59	1482
3	69	4211
5	37	2937
1	12	1997
1	59	4297
5	41	4729
3	4	8086
2	81	61
9	35	5518
2	91	8319
4	22	400
1	54	5998
8	60	1371
1	99	8854
0	0	7234
9	48	8912
6	9	4779
6	27	9623
6	48	5677
1	27	6304
8	57	2775
2	12	4685
4	74	1988
7	32	6346
1	45	3042
6	0	2941
2	44	4051
1	35	5889
5	45	2507
3	32	5783
8	54	4793
6	85	335
5	25	4294
4	75	2796
6	99	8532
6	36	8863
0	92	8046
6	8	7396
2	33	5235
6	55	1699
1	91	4705
5	48	4055
8	68	730
9	89	4578
3	61	7152
0	31	8152
8	35	1302
6	72	4798
8	54	5346
3	66	6427
6	53	7387
4	64	1730
8	27	248
8	2	2824
9	91	3117
